ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	CBGroupList	ExampleSit	ExpList	ExpList.Cycle	ExpList.Sample	GroupDescription	GroupNR	InstrMIP3.ACC	InstrMIP3.CRESP	InstrMIP3.DurationError	InstrMIP3.OnsetDelay	InstrMIP3.OnsetTime	InstrMIP3.OnsetToOnsetTime	InstrMIP3.RESP	InstrMIP3.RT	InstrMIP3.RTTime	IntExpList	IntExpList.Cycle	IntExpList.Sample	MoodDes	MoodDes2	MoodDes3	MoodDesLW	Procedure[Block]	resp	Running[Block]	Task	Trial	AffectGrid	AffectGrid.Cycle	AffectGrid.Sample	Arousal	MoodQuestions	MoodQuestions.Cycle	MoodQuestions.Sample	Pleasure	Procedure[Trial]	Question	QuestSlide.RESP	QuestSlide.RT	Running[Trial]
Mood	121	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T12:17:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">55703873821</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T12:17:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-121-1	60.005	1.0.0.399	1	-130068603	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 12:17:26	13:17:26	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	2					2	1	2		MoodQuestProc	How much did the example story help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	7	3953	MoodQuestions
Mood	121	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T12:17:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">55703873821</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T12:17:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-121-1	60.005	1.0.0.399	1	-130068603	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 12:17:26	13:17:26	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	3					3	1	3		MoodQuestProc	How much did the music help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	3	3247	MoodQuestions
Mood	121	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T12:17:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">55703873821</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T12:17:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-121-1	60.005	1.0.0.399	1	-130068603	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 12:17:26	13:17:26	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	4					4	1	4		MoodQuestProc	How much did your own memory help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	6	4225	MoodQuestions
Mood	121	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T12:17:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">55703873821</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T12:17:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-121-1	60.005	1.0.0.399	1	-130068603	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 12:17:26	13:17:26	2.0.10.252	6			4	1	4																			Mood	a	ExpList	Mood3	1	1	3	3	7				8	AffectGridProc				AffectGrid
Mood	122	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">67578467492</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-122-1	60.005	1.0.0.399	1	-1140344803	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 13:17:11	14:17:11	2.0.10.252	1	2	A relative of yours, with whom you’ve shared a close relationship, has been diagnosed with early-onset Alzheimers. Whereas (s)he used to be full of life and wisdom, you can see the passion fade away as (s)he forgets more and more, until eventually (s)he doesn’t even remember you and the great times you’ve had anymore. 				S	2										1	1	1	sad	Before we continue to the task, I, the experimenter, would like to assure you that at the end of the task, I will make sure you get back to a normal mood.	Are you still a bit down? The experiment leader has a nice little surprise for you. Hopefully it will make you feel a little better.  	a sad	InitializeProc		IntExpList															
Mood	122	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">67578467492</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-122-1	60.005	1.0.0.399	1	-1140344803	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 13:17:11	14:17:11	2.0.10.252	2																	2	1	2					Mood		IntExpList		1	1	1	1	5				6	AffectGridProc				AffectGrid
Mood	122	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">67578467492</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-122-1	60.005	1.0.0.399	1	-1140344803	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 13:17:11	14:17:11	2.0.10.252	3	2	A relative of yours, with whom you’ve shared a close relationship, has been diagnosed with early-onset Alzheimers. Whereas (s)he used to be full of life and wisdom, you can see the passion fade away as (s)he forgets more and more, until eventually (s)he doesn’t even remember you and the great times you’ve had anymore. 	1	1	1	S	2	1		0	0	106431	600052		0	0				sad	Before we continue to the task, I, the experimenter, would like to assure you that at the end of the task, I will make sure you get back to a normal mood.	Are you still a bit down? The experiment leader has a nice little surprise for you. Hopefully it will make you feel a little better.  	a sad	MoodProc	?	ExpList	Music														
Mood	122	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">67578467492</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-122-1	60.005	1.0.0.399	1	-1140344803	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 13:17:11	14:17:11	2.0.10.252	4			2	1	2																			Mood	a	ExpList	Mood2	1	1	2	2	3				3	AffectGridProc				AffectGrid
Mood	122	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">67578467492</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-122-1	60.005	1.0.0.399	1	-1140344803	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 13:17:11	14:17:11	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	1					1	1	1		MoodQuestProc	How difficult did you find it to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	5	7061	MoodQuestions
Mood	122	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">67578467492</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-122-1	60.005	1.0.0.399	1	-1140344803	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 13:17:11	14:17:11	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	2					2	1	2		MoodQuestProc	How much did the example story help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	2	4966	MoodQuestions
Mood	122	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">67578467492</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-122-1	60.005	1.0.0.399	1	-1140344803	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 13:17:11	14:17:11	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	3					3	1	3		MoodQuestProc	How much did the music help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	4	5538	MoodQuestions
Mood	122	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">67578467492</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-122-1	60.005	1.0.0.399	1	-1140344803	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 13:17:11	14:17:11	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	4					4	1	4		MoodQuestProc	How much did your own memory help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	6	4945	MoodQuestions
Mood	122	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312705</Frequency><Timestamp dt:dt="r8">67578467492</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T13:17:11Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-122-1	60.005	1.0.0.399	1	-1140344803	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 13:17:11	14:17:11	2.0.10.252	6			4	1	4																			Mood	a	ExpList	Mood3	1	1	3	3	3				3	AffectGridProc				AffectGrid
Mood	123	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">79310084068</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-123-1	60.005	1.0.0.399	1	2001336623	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 14:16:22	15:16:22	2.0.10.252	1	1	It’s your birthday and your friends throw you an amazing surprise party! All of your favorite people are there, and they are having a great time together with you, doing the best imaginable birthday activities. 				E	1										1	1	1	excited			an excited	InitializeProc		IntExpList															
Mood	123	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">79310084068</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-123-1	60.005	1.0.0.399	1	2001336623	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 14:16:22	15:16:22	2.0.10.252	2																	2	1	2					Mood		IntExpList		1	1	1	1	8				7	AffectGridProc				AffectGrid
Mood	123	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">79310084068</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-123-1	60.005	1.0.0.399	1	2001336623	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 14:16:22	15:16:22	2.0.10.252	3	1	It’s your birthday and your friends throw you an amazing surprise party! All of your favorite people are there, and they are having a great time together with you, doing the best imaginable birthday activities. 	1	1	1	E	1	1		0	0	178614	600038		0	0				excited			an excited	MoodProc	?	ExpList	Music														
Mood	123	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">79310084068</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-123-1	60.005	1.0.0.399	1	2001336623	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 14:16:22	15:16:22	2.0.10.252	4			2	1	2																			Mood	a	ExpList	Mood2	1	1	2	2	8				8	AffectGridProc				AffectGrid
Mood	123	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">79310084068</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-123-1	60.005	1.0.0.399	1	2001336623	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 14:16:22	15:16:22	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	1					1	1	1		MoodQuestProc	How difficult did you find it to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	2	12448	MoodQuestions
Mood	123	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">79310084068</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-123-1	60.005	1.0.0.399	1	2001336623	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 14:16:22	15:16:22	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	2					2	1	2		MoodQuestProc	How much did the example story help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	1	5594	MoodQuestions
Mood	123	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">79310084068</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-123-1	60.005	1.0.0.399	1	2001336623	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 14:16:22	15:16:22	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	3					3	1	3		MoodQuestProc	How much did the music help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	6	9086	MoodQuestions
Mood	123	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">79310084068</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-123-1	60.005	1.0.0.399	1	2001336623	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 14:16:22	15:16:22	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	4					4	1	4		MoodQuestProc	How much did your own memory help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	8	4503	MoodQuestions
Mood	123	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">79310084068</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T14:16:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-123-1	60.005	1.0.0.399	1	2001336623	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 14:16:22	15:16:22	2.0.10.252	6			4	1	4																			Mood	a	ExpList	Mood3	1	1	3	3	8				8	AffectGridProc				AffectGrid
Mood	124	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T15:17:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">91390938738</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T15:17:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-124-1	60.005	1.0.0.399	1	1197291934	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 15:17:09	16:17:09	2.0.10.252	1	2	A relative of yours, with whom you’ve shared a close relationship, has been diagnosed with early-onset Alzheimers. Whereas (s)he used to be full of life and wisdom, you can see the passion fade away as (s)he forgets more and more, until eventually (s)he doesn’t even remember you and the great times you’ve had anymore. 				S	2										1	1	1	sad	Before we continue to the task, I, the experimenter, would like to assure you that at the end of the task, I will make sure you get back to a normal mood.	Are you still a bit down? The experiment leader has a nice little surprise for you. Hopefully it will make you feel a little better.  	a sad	InitializeProc		IntExpList															
Mood	124	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T15:17:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">91390938738</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T15:17:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-124-1	60.005	1.0.0.399	1	1197291934	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 15:17:09	16:17:09	2.0.10.252	2																	2	1	2					Mood		IntExpList		1	1	1	1	6				7	AffectGridProc				AffectGrid
Mood	124	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T15:17:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">91390938738</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T15:17:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-124-1	60.005	1.0.0.399	1	1197291934	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 15:17:09	16:17:09	2.0.10.252	3	2	A relative of yours, with whom you’ve shared a close relationship, has been diagnosed with early-onset Alzheimers. Whereas (s)he used to be full of life and wisdom, you can see the passion fade away as (s)he forgets more and more, until eventually (s)he doesn’t even remember you and the great times you’ve had anymore. 	1	1	1	S	2	1		0	-1	113908	600038		0	0				sad	Before we continue to the task, I, the experimenter, would like to assure you that at the end of the task, I will make sure you get back to a normal mood.	Are you still a bit down? The experiment leader has a nice little surprise for you. Hopefully it will make you feel a little better.  	a sad	MoodProc	?	ExpList	Music														
Mood	124	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T15:17:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">91390938738</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T15:17:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-124-1	60.005	1.0.0.399	1	1197291934	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 15:17:09	16:17:09	2.0.10.252	4			2	1	2																			Mood	a	ExpList	Mood2	1	1	2	2	4				3	AffectGridProc				AffectGrid
Mood	124	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T15:17:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">91390938738</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T15:17:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-124-1	60.005	1.0.0.399	1	1197291934	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 15:17:09	16:17:09	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	1					1	1	1		MoodQuestProc	How difficult did you find it to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	3	10615	MoodQuestions
Mood	124	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-03-28T15:17:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3312695</Frequency><Timestamp dt:dt="r8">91390938738</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-03-28T15:17:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Mood-124-1	60.005	1.0.0.399	1	1197291934	Professional	2.0.10.356	2.0.10.356	03-28-2019	28-3-2019 15:17:09	16:17:09	2.0.10.252	5			3	1	3																			MoodQuest	?	ExpList	Quest	2					2	1	2		MoodQuestProc	How much did the example story help to get into the mood, on a scale of 1 (not at all) to 8 (very much)?	4	4667	MoodQuestions
